ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
427;1;M;2715;10,78
428;1;M;2716;10,78
429;1;M;2717;10,79
430;1;M;2718;10,79
431;1;M;2719;10,8
432;1;M;2720;10,8
433;1;M;2721;10,81
434;1;M;2722;10,81
435;1;M;2723;10,82
436;1;M;2724;10,82
437;1;M;2725;10,83
438;1;M;2726;10,84
439;1;M;2727;10,85
440;1;M;2728;10,86
441;1;M;2729;10,87
442;1;M;2730;10,88
443;1;M;2731;10,88
444;1;M;2732;10,89
445;1;M;2733;10,89
446;1;M;2734;10,9
447;1;M;2735;10,9
448;1;M;2736;10,91
449;1;M;2737;10,91
450;1;M;2738;10,92
451;1;M;2739;10,92
452;1;M;2740;10,93
453;1;M;2741;10,94
454;1;M;2742;10,95
455;1;M;2743;10,96
456;1;M;2744;10,97
457;1;M;2745;10,98
458;1;M;2746;10,98
459;1;M;2747;10,99
460;1;M;2748;10,99
461;1;M;2749;11
462;1;M;2750;11
463;1;M;2751;11,01
464;1;M;2752;11,01
465;1;M;2753;11,02
466;1;M;2754;11,02
467;1;M;2755;11,03
468;1;M;2756;11,04
469;1;M;2757;11,05
470;1;M;2758;11,06
471;1;M;2759;11,07
472;1;M;2760;11,08
473;1;M;2761;11,08
474;1;M;2762;11,09
475;1;M;2763;11,09
476;1;M;2764;11,1
477;1;M;2765;11,1
478;1;M;2766;11,11
479;1;M;2767;11,11
480;1;M;2768;11,12
481;1;M;2769;11,12
482;1;M;2770;11,13
483;1;M;2771;11,14
484;1;M;2772;11,15
485;1;M;2773;11,16
486;1;M;2774;11,17
487;1;M;2775;11,18
488;1;M;2776;11,18
489;1;M;2777;11,19
490;1;M;2778;11,19
491;1;M;2779;11,2
492;1;M;2780;11,2
493;1;M;2781;11,21
494;1;M;2782;11,21
495;1;M;2783;11,22
496;1;M;2784;11,23
497;1;M;2785;11,24
498;1;M;2786;11,25
499;1;M;2787;11,26
500;1;M;2788;11,27
501;1;M;2789;11,28
502;1;M;2790;11,28
503;1;M;2791;11,29
504;1;M;2792;11,29
505;1;M;2793;11,3
506;1;M;2794;11,3
507;1;M;2795;11,31
508;1;M;2796;11,32
509;1;M;2797;11,33
510;1;M;2798;11,34
511;1;M;2799;11,35
512;1;M;2800;11,36
513;1;M;2801;11,37
514;1;M;2802;11,38
515;1;M;2803;11,38
516;1;M;2804;11,39
517;1;M;2805;11,39
518;1;M;2806;11,4
519;1;M;2807;11,4
520;1;M;2808;11,41
521;1;M;2809;11,42
522;1;M;2810;11,43
523;1;M;2811;11,44
524;1;M;2812;11,45
525;1;M;2813;11,46
526;1;M;2814;11,47
527;1;M;2815;11,48
528;1;M;2816;11,48
529;1;M;2817;11,49
530;1;M;2818;11,49
531;1;M;2819;11,5
532;1;M;2820;11,5
533;1;M;2821;11,51
534;1;M;2822;11,51
535;1;M;2823;11,52
536;1;M;2824;11,52
537;1;M;2825;11,53
538;1;M;2826;11,54
539;1;M;2827;11,55
540;1;M;2828;11,56
541;1;M;2829;11,57
542;1;M;2830;11,58
543;1;M;2831;11,58
