ID;Ano;Sexo;Abd_Rep;Abd_Nota
401;3;M;82;16,4
402;3;M;83;16,6
403;3;M;84;16,8
404;3;M;85;17
405;3;M;86;17,2
406;3;M;87;17,4
407;3;M;88;17,6
408;3;M;89;17,8
409;3;M;90;18
410;3;M;91;18,2
411;3;M;92;18,4
412;3;M;93;18,6
413;3;M;94;18,8
414;3;M;95;19
415;3;M;96;19,2
416;3;M;97;19,4
417;3;M;98;19,6
418;3;M;99;19,8
419;3;M;100;20
420;3;F;0;0
421;3;F;1;0
422;3;F;2;0
423;3;F;3;0
424;3;F;4;0
425;3;F;5;0
426;3;F;6;0
427;3;F;7;0
428;3;F;8;0
429;3;F;9;0
430;3;F;10;0
431;3;F;11;0
432;3;F;12;0
433;3;F;13;0
434;3;F;14;0
435;3;F;15;0
436;3;F;16;0
437;3;F;17;0
438;3;F;18;0
439;3;F;19;0
440;3;F;20;0,8
441;3;F;21;1,1
442;3;F;22;1,4
443;3;F;23;1,7
444;3;F;24;2
445;3;F;25;2,3
446;3;F;26;2,6
447;3;F;27;2,9
448;3;F;28;3,2
449;3;F;29;3,5
450;3;F;30;3,8
451;3;F;31;4,1
452;3;F;32;4,4
453;3;F;33;4,7
454;3;F;34;5
455;3;F;35;5,3
456;3;F;36;5,6
457;3;F;37;5,9
458;3;F;38;6,2
459;3;F;39;6,5
460;3;F;40;6,8
461;3;F;41;7,1
462;3;F;42;7,4
463;3;F;43;7,7
464;3;F;44;8
465;3;F;45;8,3
466;3;F;46;8,6
467;3;F;47;8,9
468;3;F;48;9,2
469;3;F;49;9,5
470;3;F;50;9,8
471;3;F;51;10,1
472;3;F;52;10,4
473;3;F;53;10,6
474;3;F;54;10,8
475;3;F;55;11
476;3;F;56;11,2
477;3;F;57;11,4
478;3;F;58;11,6
479;3;F;59;11,8
480;3;F;60;12
481;3;F;61;12,2
482;3;F;62;12,4
483;3;F;63;12,6
484;3;F;64;12,8
485;3;F;65;13
486;3;F;66;13,2
487;3;F;67;13,4
488;3;F;68;13,6
489;3;F;69;13,8
490;3;F;70;14
491;3;F;71;14,2
492;3;F;72;14,4
493;3;F;73;14,6
494;3;F;74;14,8
495;3;F;75;15
496;3;F;76;15,2
497;3;F;77;15,4
498;3;F;78;15,6
499;3;F;79;15,8
500;3;F;80;16
501;3;F;81;16,2
502;3;F;82;16,4
503;3;F;83;16,6
504;3;F;84;16,8
505;3;F;85;17
506;3;F;86;17,2
507;3;F;87;17,4
508;3;F;88;17,6
509;3;F;89;17,8
510;3;F;90;18
511;3;F;91;18,2
512;3;F;92;18,4
513;3;F;93;18,6
514;3;F;94;18,8
515;3;F;95;19
516;3;F;96;19,2
517;3;F;97;19,4
518;3;F;98;19,6
519;3;F;99;19,8
520;3;F;100;20
521;4;M;18;0
522;4;M;19;0
523;4;M;20;0,4
524;4;M;21;0,7
525;4;M;22;1
526;4;M;23;1,3
527;4;M;24;1,6
528;4;M;25;1,9
529;4;M;26;2,2
530;4;M;27;2,5
