id;Sexo;Segundos;Nota
404;M;1895;14,92
405;M;1896;14,9
406;M;1897;14,88
407;M;1898;14,87
408;M;1899;14,85
409;M;1900;14,83
410;M;1901;14,82
411;M;1902;14,8
412;M;1903;14,78
413;M;1904;14,77
414;M;1905;14,75
415;M;1906;14,73
416;M;1907;14,72
417;M;1908;14,7
418;M;1909;14,68
419;M;1910;14,67
420;M;1911;14,65
421;M;1912;14,63
422;M;1913;14,62
423;M;1914;14,6
424;M;1915;14,58
425;M;1916;14,57
426;M;1917;14,55
427;M;1918;14,53
428;M;1919;14,52
429;M;1920;14,5
430;M;1921;14,48
431;M;1922;14,47
432;M;1923;14,45
433;M;1924;14,43
434;M;1925;14,42
435;M;1926;14,4
436;M;1927;14,38
437;M;1928;14,37
438;M;1929;14,35
439;M;1930;14,33
440;M;1931;14,32
441;M;1932;14,3
442;M;1933;14,28
443;M;1934;14,27
444;M;1935;14,25
445;M;1936;14,23
446;M;1937;14,22
447;M;1938;14,2
448;M;1939;14,18
449;M;1940;14,17
450;M;1941;14,15
451;M;1942;14,13
452;M;1943;14,12
453;M;1944;14,1
454;M;1945;14,08
455;M;1946;14,07
456;M;1947;14,05
457;M;1948;14,03
458;M;1949;14,02
459;M;1950;14
460;M;1951;13,98
461;M;1952;13,97
462;M;1953;13,95
463;M;1954;13,93
464;M;1955;13,92
465;M;1956;13,9
466;M;1957;13,88
467;M;1958;13,87
468;M;1959;13,7
469;M;1960;13,67
470;M;1961;13,63
471;M;1962;13,6
472;M;1963;13,57
473;M;1964;13,53
474;M;1965;13,5
475;M;1966;13,47
476;M;1967;13,43
477;M;1968;13,4
478;M;1969;13,37
479;M;1970;13,33
480;M;1971;13,3
481;M;1972;13,27
482;M;1973;13,23
483;M;1974;13,2
484;M;1975;13,17
485;M;1976;13,13
486;M;1977;13,1
487;M;1978;13,07
488;M;1979;13,03
489;M;1980;13
490;M;1981;12,97
491;M;1982;12,93
492;M;1983;12,9
493;M;1984;12,87
494;M;1985;12,83
495;M;1986;12,8
496;M;1987;12,77
497;M;1988;12,73
498;M;1989;12,7
499;M;1990;12,67
500;M;1991;12,63
501;M;1992;12,6
502;M;1993;12,57
503;M;1994;12,53
504;M;1995;12,5
505;M;1996;12,47
506;M;1997;12,43
507;M;1998;12,4
508;M;1999;12,37
509;M;2000;12,33
510;M;2001;12,3
511;M;2002;12,27
512;M;2003;12,23
513;M;2004;12,2
514;M;2005;12,17
515;M;2006;12,13
516;M;2007;12,1
517;M;2008;12,07
518;M;2009;12,03
519;M;2010;12
520;M;2011;11,97
521;M;2012;11,93
522;M;2013;11,9
523;M;2014;11,87
524;M;2015;11,83
525;M;2016;11,8
526;M;2017;11,77
527;M;2018;11,73
528;M;2019;11,7
529;M;2020;11,67
530;M;2021;11,63
531;M;2022;11,6
532;M;2023;11,57
533;M;2024;11,53
534;M;2025;11,5
535;M;2026;11,47
536;M;2027;11,43
537;M;2028;11,4
538;M;2029;11,37
539;M;2030;11,33
540;M;2031;11,3
541;M;2032;11,27
542;M;2033;11,23
543;M;2034;11,2
544;M;2035;11,17
545;M;2036;11,13
546;M;2037;11,1
547;M;2038;11,07
548;M;2039;11,03
549;M;2040;11
550;M;2041;10,97
551;M;2042;10,93
552;M;2043;10,9
553;M;2044;10,87
554;M;2045;10,83
555;M;2046;10,8
556;M;2047;10,77
557;M;2048;10,73
558;M;2049;10,7
559;M;2050;10,67
560;M;2051;10,63
561;M;2052;10,6
562;M;2053;10,57
563;M;2054;10,53
564;M;2055;10,5
565;M;2056;10,47
566;M;2057;10,43
567;M;2058;10,4
568;M;2059;10,37
569;M;2060;10,33
570;M;2061;10,3
571;M;2062;10,27
572;M;2063;10,23
573;M;2064;10,2
574;M;2065;10,17
575;M;2066;10,13
576;M;2067;10,1
577;M;2068;10,07
578;M;2069;10,03
579;M;2070;10
580;M;2071;9,98
581;M;2072;9,97
582;M;2073;9,95
583;M;2074;9,93
584;M;2075;9,92
585;M;2076;9,9
586;M;2077;9,88
587;M;2078;9,87
588;M;2079;9,85
589;M;2080;9,83
590;M;2081;9,82
591;M;2082;9,8
592;M;2083;9,78
593;M;2084;9,77
594;M;2085;9,75
595;M;2086;9,73
596;M;2087;9,72
597;M;2088;9,7
598;M;2089;9,68
599;M;2090;9,67
600;M;2091;9,65
601;M;2092;9,63
602;M;2093;9,62
603;M;2094;9,6
604;M;2095;9,58
605;M;2096;9,57
606;M;2097;9,55
607;M;2098;9,53
608;M;2099;9,52
609;M;2100;9,5
610;M;2101;9,48
611;M;2102;9,47
612;M;2103;9,45
613;M;2104;9,43
614;M;2105;9,42
615;M;2106;9,4
616;M;2107;9,38
617;M;2108;9,37
618;M;2109;9,35
619;M;2110;9,33
620;M;2111;9,32
621;M;2112;9,3
622;M;2113;9,28
623;M;2114;9,27
624;M;2115;9,25
625;M;2116;9,23
626;M;2117;9,22
627;M;2118;9,2
628;M;2119;9,18
629;M;2120;9,17
630;M;2121;9,15
631;M;2122;9,13
632;M;2123;9,12
633;M;2124;9,1
634;M;2125;9,08
635;M;2126;9,07
636;M;2127;9,05
637;M;2128;9,03
638;M;2129;9,02
639;M;2130;9
640;M;2131;8,98
641;M;2132;8,97
642;M;2133;8,95
643;M;2134;8,93
644;M;2135;8,92
645;M;2136;8,9
646;M;2137;8,88
647;M;2138;8,87
648;M;2139;8,85
649;M;2140;8,83
650;M;2141;8,82
651;M;2142;8,8
652;M;2143;8,78
653;M;2144;8,77
654;M;2145;8,75
655;M;2146;8,73
656;M;2147;8,72
657;M;2148;8,7
658;M;2149;8,68
659;M;2150;8,67
660;M;2151;8,65
661;M;2152;8,63
662;M;2153;8,62
663;M;2154;8,6
664;M;2155;8,58
665;M;2156;8,57
666;M;2157;8,55
667;M;2158;8,53
668;M;2159;8,52
669;M;2160;8,5
670;M;2161;8,48
671;M;2162;8,47
672;M;2163;8,45
673;M;2164;8,43
674;M;2165;8,42
675;M;2166;8,4
676;M;2167;8,38
677;M;2168;8,37
678;M;2169;8,35
679;M;2170;8,33
680;M;2171;8,32
681;M;2172;8,3
682;M;2173;8,28
683;M;2174;8,27
684;M;2175;8,25
685;M;2176;8,23
686;M;2177;8,22
687;M;2178;8,2
688;M;2179;8,18
689;M;2180;8,17
690;M;2181;8,15
691;M;2182;8,13
692;M;2183;8,12
693;M;2184;8,1
694;M;2185;8,08
695;M;2186;8,07
696;M;2187;8,05
697;M;2188;8,03
698;M;2189;8,02
699;M;2190;8
700;M;2191;7,98
701;M;2192;7,97
702;M;2193;7,95
703;M;2194;7,93
704;M;2195;7,92
705;M;2196;7,9
706;M;2197;7,88
707;M;2198;7,87
708;M;2199;7,85
709;M;2200;7,83
710;M;2201;7,82
711;M;2202;7,8
712;M;2203;7,78
713;M;2204;7,77
714;M;2205;7,75
715;M;2206;7,73
716;M;2207;7,72
717;M;2208;7,7
718;M;2209;7,68
719;M;2210;7,67
720;M;2211;7,65
721;M;2212;7,63
722;M;2213;7,62
723;M;2214;7,6
724;M;2215;7,58
725;M;2216;7,57
726;M;2217;7,55
727;M;2218;7,53
728;M;2219;7,52
729;M;2220;7,5
730;M;2221;7,48
731;M;2222;7,47
732;M;2223;7,45
733;M;2224;7,43
734;M;2225;7,42
735;M;2226;7,4
736;M;2227;7,38
737;M;2228;7,37
738;M;2229;7,35
739;M;2230;7,33
740;M;2231;7,32
741;M;2232;7,3
742;M;2233;7,28
743;M;2234;7,27
744;M;2235;7,25
745;M;2236;7,23
746;M;2237;7,22
747;M;2238;7,2
748;M;2239;7,18
749;M;2240;7,17
750;M;2241;7,15
751;M;2242;7,13
752;M;2243;7,12
753;M;2244;7,1
754;M;2245;7,08
755;M;2246;7,07
756;M;2247;7,05
757;M;2248;7,03
758;M;2249;7,02
759;M;2250;7
760;M;2251;6,98
761;M;2252;6,97
762;M;2253;6,95
763;M;2254;6,93
764;M;2255;6,92
765;M;2256;6,9
766;M;2257;6,88
767;M;2258;6,87
768;M;2259;6,85
769;M;2260;6,83
770;M;2261;6,82
771;M;2262;6,8
772;M;2263;6,78
773;M;2264;6,77
774;M;2265;6,75
775;M;2266;6,73
776;M;2267;6,72
777;M;2268;6,7
778;M;2269;6,68
779;M;2270;6,67
780;M;2271;6,65
781;M;2272;6,63
782;M;2273;6,62
783;M;2274;6,6
784;M;2275;6,58
785;M;2276;6,57
786;M;2277;6,55
787;M;2278;6,53
788;M;2279;6,52
789;M;2280;6,5
790;M;2281;6,48
791;M;2282;6,47
792;M;2283;6,45
793;M;2284;6,43
794;M;2285;6,42
795;M;2286;6,4
796;M;2287;6,38
797;M;2288;6,37
798;M;2289;6,35
799;M;2290;6,33
800;M;2291;6,32
801;M;2292;6,3
802;M;2293;6,28
803;M;2294;6,27
804;M;2295;6,25
805;M;2296;6,23
806;M;2297;6,22
807;M;2298;6,2
808;M;2299;6,18
809;M;2300;6,17
810;M;2301;6,15
811;M;2302;6,13
812;M;2303;6,12
813;M;2304;6,1
814;M;2305;6,08
815;M;2306;6,07
816;M;2307;6,05
817;M;2308;6,03
818;M;2309;6,02
819;M;2310;6
820;M;2311;5,98
821;M;2312;5,97
822;M;2313;5,95
823;M;2314;5,93
824;M;2315;5,92
825;M;2316;5,9
826;M;2317;5,88
827;M;2318;5,87
828;M;2319;5,85
829;M;2320;5,83
830;M;2321;5,82
831;M;2322;5,8
832;M;2323;5,78
833;M;2324;5,77
834;M;2325;5,75
835;M;2326;5,73
836;M;2327;5,72
837;M;2328;5,7
838;M;2329;5,68
839;M;2330;5,67
840;M;2331;5,65
841;M;2332;5,63
842;M;2333;5,62
843;M;2334;5,6
844;M;2335;5,58
845;M;2336;5,57
846;M;2337;5,55
847;M;2338;5,53
848;M;2339;5,52
849;M;2340;5,5
850;M;2341;5,48
851;M;2342;5,47
852;M;2343;5,45
853;M;2344;5,43
854;M;2345;5,42
855;M;2346;5,4
856;M;2347;5,38
857;M;2348;5,37
858;M;2349;5,35
859;M;2350;5,33
860;M;2351;5,32
861;M;2352;5,3
862;M;2353;5,28
863;M;2354;5,27
864;M;2355;5,25
865;M;2356;5,23
866;M;2357;5,22
867;M;2358;5,2
868;M;2359;5,18
869;M;2360;5,17
870;M;2361;5,15
871;M;2362;5,13
872;M;2363;5,12
873;M;2364;5,1
874;M;2365;5,08
875;M;2366;5,07
876;M;2367;5,05
877;M;2368;5,03
878;M;2369;5,02
879;M;2370;5
880;M;2371;4,98
881;M;2372;4,97
882;M;2373;4,95
883;M;2374;4,93
884;M;2375;4,92
885;M;2376;4,9
886;M;2377;4,88
887;M;2378;4,87
888;M;2379;4,85
889;M;2380;4,83
890;M;2381;4,82
891;M;2382;4,8
892;M;2383;4,78
893;M;2384;4,77
894;M;2385;4,75
895;M;2386;4,73
896;M;2387;4,72
897;M;2388;4,7
898;M;2389;4,68
899;M;2390;4,67
900;M;2391;4,65
901;M;2392;4,63
902;M;2393;4,62
903;M;2394;4,6
904;M;2395;4,58
905;M;2396;4,57
906;M;2397;4,55
907;M;2398;4,53
908;M;2399;4,52
909;M;2400;4,5
910;M;2401;4,48
911;M;2402;4,47
912;M;2403;4,45
913;M;2404;4,43
914;M;2405;4,42
915;M;2406;4,4
916;M;2407;4,38
917;M;2408;4,37
918;M;2409;4,35
919;M;2410;4,33
920;M;2411;4,32
921;M;2412;4,3
922;M;2413;4,28
923;M;2414;4,27
924;M;2415;4,25
925;M;2416;4,23
926;M;2417;4,22
927;M;2418;4,2
928;M;2419;4,18
929;M;2420;4,17
930;M;2421;4,15
931;M;2422;4,13
932;M;2423;4,12
933;M;2424;4,1
934;M;2425;4,08
935;M;2426;4,07
936;M;2427;4,05
937;M;2428;4,03
938;M;2429;4,02
939;M;2430;4
940;M;2431;3,98
941;M;2432;3,97
942;M;2433;3,95
943;M;2434;3,93
944;M;2435;3,92
945;M;2436;3,9
946;M;2437;3,88
947;M;2438;3,87
948;M;2439;3,85
949;M;2440;3,83
950;M;2441;3,82
951;M;2442;3,8
952;M;2443;3,78
953;M;2444;3,77
954;M;2445;3,75
955;M;2446;3,73
956;M;2447;3,72
957;M;2448;3,7
958;M;2449;3,68
959;M;2450;3,67
960;M;2451;3,65
961;M;2452;3,63
962;M;2453;3,62
963;M;2454;3,6
964;M;2455;3,58
965;M;2456;3,57
966;M;2457;3,55
967;M;2458;3,53
968;M;2459;3,52
969;M;2460;3,5
970;M;2461;3,48
971;M;2462;3,47
972;M;2463;3,45
973;M;2464;3,43
974;M;2465;3,42
975;M;2466;3,4
976;M;2467;3,38
977;M;2468;3,37
978;M;2469;3,35
979;M;2470;3,33
980;M;2471;3,32
981;M;2472;3,3
982;M;2473;3,28
983;M;2474;3,27
984;M;2475;3,25
985;M;2476;3,23
986;M;2477;3,22
987;M;2478;3,2
988;M;2479;3,18
989;M;2480;3,17
990;M;2481;3,15
991;M;2482;3,13
992;M;2483;3,12
993;M;2484;3,1
994;M;2485;3,08
995;M;2486;3,07
996;M;2487;3,05
997;M;2488;3,03
998;M;2489;3,02
999;M;2490;3
1000;M;2491;2,98
1001;M;2492;2,97
1002;M;2493;2,95
1003;M;2494;2,93
1004;M;2495;2,92
1005;M;2496;2,9
1006;M;2497;2,88
1007;M;2498;2,87
1008;M;2499;2,85
1009;M;2500;2,83
1010;M;2501;2,82
1011;M;2502;2,8
1012;M;2503;2,78
1013;M;2504;2,77
1014;M;2505;2,75
1015;M;2506;2,73
1016;M;2507;2,72
1017;M;2508;2,7
1018;M;2509;2,68
1019;M;2510;2,67
1020;M;2511;2,65
1021;M;2512;2,63
1022;M;2513;2,62
1023;M;2514;2,6
1024;M;2515;2,58
1025;M;2516;2,57
1026;M;2517;2,55
1027;M;2518;2,53
1028;M;2519;2,52
1029;M;2520;2,5
1030;M;2521;2,48
1031;M;2522;2,47
1032;M;2523;2,45
1033;M;2524;2,43
1034;M;2525;2,42
1035;M;2526;2,4
1036;M;2527;2,38
1037;M;2528;2,37
1038;M;2529;2,35
1039;M;2530;2,33
1040;M;2531;2,32
1041;M;2532;2,3
1042;M;2533;2,28
1043;M;2534;2,27
1044;M;2535;2,25
1045;M;2536;2,23
1046;M;2537;2,22
1047;M;2538;2,2
1048;M;2539;2,18
1049;M;2540;2,17
1050;M;2541;2,15
1051;M;2542;2,13
1052;M;2543;2,12
1053;M;2544;2,1
1054;M;2545;2,08
1055;M;2546;2,07
1056;M;2547;2,05
1057;M;2548;2,03
1058;M;2549;2,02
1059;M;2550;2
1060;M;2551;1,98
1061;M;2552;1,97
1062;M;2553;1,95
1063;M;2554;1,93
1064;M;2555;1,92
1065;M;2556;1,9
1066;M;2557;1,88
1067;M;2558;1,87
1068;M;2559;1,85
1069;M;2560;1,83
1070;M;2561;1,82
1071;M;2562;1,8
1072;M;2563;1,78
1073;M;2564;1,77
1074;M;2565;1,75
1075;M;2566;1,73
1076;M;2567;1,72
1077;M;2568;1,7
1078;M;2569;1,68
1079;M;2570;1,67
1080;M;2571;1,65
1081;M;2572;1,63
1082;M;2573;1,62
1083;M;2574;1,6
1084;M;2575;1,58
1085;M;2576;1,57
1086;M;2577;1,55
1087;M;2578;1,53
1088;M;2579;1,52
1089;M;2580;1,5
1090;M;2581;1,48
1091;M;2582;1,47
1092;M;2583;1,45
1093;M;2584;1,43
1094;M;2585;1,42
1095;M;2586;1,4
1096;M;2587;1,38
1097;M;2588;1,37
1098;M;2589;1,35
1099;M;2590;1,33
1100;M;2591;1,32
1101;M;2592;1,3
1102;M;2593;1,28
1103;M;2594;1,27
1104;M;2595;1,25
1105;M;2596;1,23
1106;M;2597;1,22
1107;M;2598;1,2
1108;M;2599;1,18
1109;M;2600;1,17
1110;M;2601;1,15
1111;M;2602;1,13
1112;M;2603;1,12
1113;M;2604;1,1
1114;M;2605;1,08
1115;M;2606;1,07
1116;M;2607;1,05
1117;M;2608;1,03
1118;M;2609;1,02
1119;M;2610;1
1120;M;2611;0,98
1121;M;2612;0,97
1122;M;2613;0,95
1123;M;2614;0,93
1124;M;2615;0,92
1125;M;2616;0,9
1126;M;2617;0,88
1127;M;2618;0,87
1128;M;2619;0,85
1129;M;2620;0,83
1130;M;2621;0,82
1131;M;2622;0,8
1132;M;2623;0,78
1133;M;2624;0,77
1134;M;2625;0,75
1135;M;2626;0,73
1136;M;2627;0,72
1137;M;2628;0,7
1138;M;2629;0,68
